Model,ROC-AUC,F1 Score,Training Time
Logistic Regression,0.8069007959745808,0.6835752512566472,0.11244320869445801
Gradient Boosting,0.8023448174897521,0.6757889271377093,10.185553550720215
CatBoost,0.797628523506915,0.6733649694930275,29.77408742904663
LightGBM,0.794303648759046,0.6715536792703588,0.5963191986083984
Extra Trees,0.7877681263148762,0.6628582142767041,6.576770305633545
Random Forest,0.7863551087687337,0.6657812715775185,11.038981199264526
SVM,0.7830709454818863,0.6673451192866857,126.1911551952362
XGBoost,0.775753139436528,0.6599826319470266,0.633549690246582
MLP,0.7598465706581068,0.6454355293220186,55.20916485786438
KNN,0.7300713105746777,0.6308197640854657,2.0269405841827393
